OID_,Id,SPOT,FLOORS,FLR_RAN,VIEW_2010,OFFSETA,GRIDCODE,SUM_LENGTH
,2447,4,1.5,2,0,20,0,0
,2448,5,2,2,0,20,0,0
,2449,4,1.5,2,0,20,0,0
,2450,2,2,2,0,20,0,0
,2451,0,1.5,2,0,20,0,0
,2452,3.5,1.5,2,0,20,0,0
,2453,4.5,2,2,0,20,0,0
,2455,4.5,2,2,0,20,0,0
,2457,5,2,2,0,20,0,0
,2458,5.5,1.5,2,0,20,0,0
,2459,4.5,1.5,2,0,20,0,0
,2460,4.5,2,2,0,20,0,0
,2462,4.5,1.5,2,0,20,0,0
,2463,5.5,1.5,2,0,20,0,0
,2465,8,2,2,0,20,0,0
