BLOCK,LOT,CONDO,LOCATION,res,comm,exempt,ACREAGE,sq_footage,story_design,house_type,garage,SALES DATE,SALE PRICE,PRICE CD,land_price,improv_price,assesed_value,num_structures,year_built,units,roof_type,roof_material,foundation,heat_src,heat_sys,elec,ac_type,ac_area,4_fixbath,3_fixbath,2_fixbath,1_fixbath,HotTub,fireplace,bedrooms,bathrooms,basmt_area,finbasmt_area,firstfloor_area,upper_area,half_area,attic_area,interior_cond,ext_cond,overall_cond,view
74,25,0,263 N 11TH ST,1,0,0,0.11,1056,3,5,1,00/00/0000,0,,350000,136900,486900,1,1950,1,2,4,2,2,3,1,2,1056,0,1,1,1,0,0,4,1.5,0,0,704,0,704,0,2,2,2,0
74,26,0,262 N 12TH ST,1,0,0,0.11,1800,4,5,1,00/00/0000,0,,350000,151000,501000,1,1960,1,2,4,2,1,6,1,90,1800,0,2,0,1,0,1,4,2,0,0,960,840,0,0,2,2,2,0
74,27,0,267 N 11TH ST,1,0,0,0.11,1224,3,5,1,00/00/0000,0,,350000,139500,489500,1,1970,1,2,4,2,1,6,1,90,1224,0,2,0,1,0,1,4,2,0,0,816,0,816,0,2,2,2,0
74,28,0,268 N 12TH ST,1,0,0,0.11,1419,3,5,0,00/00/0000,0,,350000,128000,478000,1,1960,1,2,4,2,2,4,1,90,1419,0,2,0,1,0,0,4,2,0,0,946,0,946,0,2,2,2,0
74,29,0,273 N 11TH ST,1,0,0,0.11,1239,3,5,0,1/28/2005,1,Z,350000,98500,448500,1,1910,1,2,4,2,2,3,1,90,1239,0,2,1,1,0,0,4,2.5,0,0,791,448,0,0,2,2,2,0
74,30,0,272 N 12TH ST,1,0,0,0.11,2156,4,8,1,4/18/2001,1,Z,350000,356500,706500,1,2003,1,4,4,1,2,3,1,2,2156,0,2,1,1,0,0,1,2.5,1078,0,1078,1078,0,0,1,1,1,0
74,31,0,279 N 11TH ST,1,0,0,0.11,1056,1,4,0,8/26/1994,215000,A,350000,137600,487600,1,1994,1,6,4,1,2,3,1,2,1056,0,2,0,1,0,0,3,2,144,144,1056,0,0,0,1,1,1,0
74,32,0,276 N 12TH ST,1,0,0,0.11,1764,4,1,0,10/28/1993,1,Z,350000,140400,490400,1,1964,2,2,4,2,1,6,1,90,1764,0,2,0,2,0,0,4,2,0,0,900,864,0,0,2,2,2,0
74,33,0,283 N 11TH ST,1,0,0,0.11,1857,4,8,0,11/13/1995,269000,A,350000,237500,587500,1,1995,1,6,4,1,2,3,1,2,1857,0,2,1,1,0,0,4,2.5,516,120,974,883,0,0,1,1,1,0
74,34,0,282 N 12TH ST,1,0,0,0.11,1764,4,1,0,8/19/1998,115000,A,350000,139300,489300,1,1965,2,2,4,2,1,6,1,90,1764,0,2,0,2,0,0,4,2,0,0,900,864,0,0,2,2,2,0
74,35,0,285 N 11TH ST,1,0,0,0.11,1056,1,4,0,5/1/1992,217400,A,350000,175900,525900,1,1992,1,6,4,1,2,3,1,2,1056,0,2,1,1,0,0,3,2.5,288,144,1056,0,0,0,1,1,1,0
74,36,0,288 N 12TH ST,1,0,0,0.11,590,2,5,0,4/3/2001,1,Z,350000,63200,413200,1,1960,1,2,4,2,90,90,1,90,590,0,1,0,1,0,0,2,1,0,0,590,0,0,480,2,2,2,0
74,37,0,1100 N BARNEGAT AVE,1,0,0,0.11,1008,3,5,0,9/15/1994,138000,A,350000,107600,457600,1,1950,1,2,4,2,2,4,1,90,1008,0,1,0,1,0,0,3,1,0,0,672,0,672,0,2,2,2,0
74,38,0,1106 N BARNEGAT AVE,1,0,0,0.11,985,2,5,1,6/23/1994,139000,A,350000,89200,439200,1,1961,1,2,4,2,1,6,1,90,985,0,1,0,1,0,0,3,1,0,0,704,0,0,704,2,2,2,0
74,39,0,1110 N BARNEGAT AVE,1,0,0,0.11,1290,1,3,1,00/00/0000,0,,350000,117600,467600,1,1950,1,2,4,2,2,3,1,90,1290,0,1,0,1,0,0,2,1,0,0,1290,0,0,0,2,2,2,0
74,40,0,294 N 12TH ST,1,0,0,0.11,1032,1,4,1,00/00/0000,0,,350000,136300,486300,1,1985,1,2,4,2,1,6,1,90,1032,0,2,0,1,0,0,3,2,1032,502,1032,0,0,0,2,2,2,0
75,1,0,205 N 12TH ST,1,0,0,0.11,720,1,3,1,4/27/2000,200000,A,350000,80800,430800,1,1955,1,1,1,2,2,1,1,90,720,0,1,0,1,0,0,2,1,0,0,720,0,0,0,2,2,2,0
